name,category,county,country,lat,lng,Wikipedia Extract,editorial_review,why_interesting,cost,good_for,experience_collections,heritage_collections,image_url,official_website,original_name,original_county,camra_merge_status,osm_status_check,Good For,Experience Collections,Entry Cost,Notes
Creeksea Place,Stately Home,Essex,United Kingdom,51.63,0.792222,"Creeksea Place is located near to the town of Burnham-on-Crouch in the Essex countryside of eastern England. Originally built in 1569, the estate retains many original internal and external features, with an original walled-garden and untouched orchard, where the BBC’s adaptation of Great Expectations was filmed.",Keep,"Red-brick Elizabethan house completed in 1569, set among woodland and ornamental lakes.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/0/0d/Creeksea_Place%2C_Creeksea%2C_Essex-geograph.org-3889320.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Acton Court,Stately Home,Gloucestershire,United Kingdom,51.555694,-2.467222,"Acton Court is the historic manor house of the manor of Iron Acton in Gloucestershire, England. It is a grade I listed building of Tudor architecture and was recently restored.",Keep,Rare Tudor state apartments built in just nine months for Henry VIII and Anne Boleyn's 1535 visit.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/5/5a/ActonCourt_IronActon_Gloucestershire.PNG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.actoncourt.com,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Calcot Manor,Stately Home,Gloucestershire,United Kingdom,51.653333,-2.232222,"Calcot Manor is a historic building in Calcot, three and a half miles west of Tetbury on A 4135 in Gloucestershire, England, near the junction of roads A46 and A4135 (National Grid Reference ST 841180 94891). The original building was established in approximately 1300 AD by Henry of Kingswood as a tithe barn annex of Kingswood Abbey.",Keep,"Historic Cotswold manor with medieval monastic barns, now a renowned country-house hotel and spa.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/f/f3/Calcotmanordown.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Chavenage House,Stately Home,Gloucestershire,United Kingdom,51.6554,-2.1865,"Chavenage House, Tetbury, Gloucestershire is an English country house. A Grade I listed building, it is described in the Gloucestershire: Cotswolds volume of the Pevsner Buildings of England series as ""the ideal sixteenth-century Cotswold stone manor house"".",Keep,"Elizabethan manor seen in Poldark and Rivals, with Civil War relics and celebrated ghost stories.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/3/3b/Chavenage_House-geograph-4082530-by-Paul-Best.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.chavenage.com,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Dyrham Park,Stately Home,Gloucestershire,United Kingdom,51.4801,-2.3734,"Dyrham Park () is a baroque English country house in an ancient deer park near the village of Dyrham in South Gloucestershire, England. The house, with the attached orangery and stable block, is a Grade I listed building, while the park is Grade II* listed on the National Register of Historic Parks and Gardens.",Keep,"Baroque mansion created for William Blathwayt, filled with Dutch art and surrounded by historic parkland.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/61/Dyrham_Park_lower_park.jpg/1280px-Dyrham_Park_lower_park.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/dyrham-park,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Bramall Hall,Stately Home,Greater Manchester,United Kingdom,53.374,-2.1666,"Bramall Hall is a manor house in Bramhall, Stockport, Greater Manchester, England. Largely Tudor in design, its oldest parts date from the 14th century, with additions from the 16th and 19th centuries.",Keep,"One of Cheshire's grandest black-and-white timber-framed halls, with history stretching back before 1066.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/8/8b/Bramall_Hall_from_west%2C_2011.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.stockport.gov.uk/topic/bramall-hall,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Flixton House,Stately Home,Greater Manchester,United Kingdom,53.445556,-2.383333,"Flixton House was built in 1806 by the Wright family, who had become wealthy land owners in Flixton. It is a Queen Anne revival style country house, in Flemish bond brick, with neo-classical portico and fanlight.",Keep,Georgian manor linked to the 1826 Flixton Footpath Battle over blocked public rights of way.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Flixton_house_late_afternoon.jpg/1280px-Flixton_house_late_afternoon.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.flixtonhouse.co.uk/Home.aspx,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Amport House,Stately Home,Hampshire,United Kingdom,51.195,-1.5761,"Amport House is a country house near the village of Amport, Andover, Hampshire, England. It is a Grade II listed building.",Keep,"1857 mansion by William Burn, complemented by formal gardens designed by Lutyens and Gertrude Jekyll.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/Amport_House_near_Andover%2C_Hampshire_MOD_45154000.jpg/1280px-Amport_House_near_Andover%2C_Hampshire_MOD_45154000.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Bramshill House,Stately Home,Hampshire,United Kingdom,51.330833,-0.912222,"Bramshill House, in Bramshill, northeast Hampshire, England, is one of the largest and most important Jacobean prodigy house mansions in England. It was built in the early 17th century by the 11th Baron Zouche of Harringworth but was partly destroyed by fire a few years later.",Keep,"One of England's largest Jacobean houses, built from 1605 with rare surviving early water gardens.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/a/a5/BramshillHouse%28AndrewSmith%29Jun2006.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Broadlands,Stately Home,Hampshire,United Kingdom,50.980556,-1.496944,"Broadlands is a country house located in the civil parish of Romsey Extra, near the town of Romsey in the Test Valley district of Hampshire, England. Its formal gardens and historic landscape are Grade II* listed on the Register of Historic Parks and Gardens.",Keep,Palladian riverside mansion associated with Lord Mountbatten and used by several royal couples for honeymoons.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Broadlands.jpg/1280px-Broadlands.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.broadlandsestates.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Exbury Gardens,Stately Home,Hampshire,United Kingdom,50.7986,-1.4005,"Exbury Gardens is a 200-acre (81 ha) informal woodland garden in Hampshire, England, with large collections of rhododendrons, azaleas and camellias, and is often considered the finest garden of its type in the United Kingdom. Exbury holds the national collection of Nyssa (Tupelo) and Oxydendrum under the National Plant Collection scheme run by the Plant Heritage charity.",Keep,"Rothschild woodland gardens famed for rhododendrons, azaleas and a narrow-gauge steam railway.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/6/64/Exbury_Garden.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.exbury.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Berrington Hall,Stately Home,Herefordshire,United Kingdom,52.269,-2.7214,"Berrington Hall is a country house located about 3 miles (5 km) north of Leominster, Herefordshire, England. During the 20th century it was the seat of the Cawley family.",Keep,Neoclassical mansion overlooking Capability Brown's final completed landscape.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/DSC7210_Berrington_Hall%2C_Herefordshire.jpg/1280px-DSC7210_Berrington_Hall%2C_Herefordshire.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/berrington-hall,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Hursley House,Stately Home,Hampshire,United Kingdom,51.02655,-1.3987,"Hursley House is an 18th-century Queen Anne style mansion in Hursley, near Winchester in the English county of Hampshire. The building is Grade II* listed.",Keep,Historic country house now home to IBM's major UK research and development laboratories.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/4/47/Hursley_House.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
"King's House, Winchester",Stately Home,Hampshire,United Kingdom,51.062,-1.321,"The King's House in Winchester was a late 17th-century planned royal palace in the English county of Hampshire. Winchester had been the capital of Wessex and England in Anglo-Saxon times, but became a backwater after the Norman Conquest of England.",Keep,"Site of Charles II's unfinished royal palace, designed by Christopher Wren and later absorbed into military barracks.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/6/63/Peninsula_Barracks%2C_early_20thC_-_Winchester%2C_Hampshire%2C_England.._%2850344691268%29.jpg?utm_source=commons.wikimedia.org&utm_campaign=imageinfo&utm_content=original,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Ashridge,Stately Home,Hertfordshire,United Kingdom,51.7996,-0.5594,"Ashridge is a country estate and stately home in Hertfordshire, England. It is situated in the Chiltern Hills, an Area of Outstanding Natural Beauty, about 2 miles (3.2 km) north of Berkhamsted and 23 miles (37 km) north west of London.",Keep,Grand Gothic Revival mansion built on a former monastery site and now used as a business school.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/GOC_Berkhamsted_%26_Frithsden_031_Ashridge_House%2C_Little_Gaddesden_%2828454689336%29.jpg/1280px-GOC_Berkhamsted_%26_Frithsden_031_Ashridge_House%2C_Little_Gaddesden_%2828454689336%29.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/ashridge-estate,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Bayfordbury,Stately Home,Hertfordshire,United Kingdom,51.776389,-0.095,"Bayfordbury, Hertfordshire, is a large Grade II* listed country house with surrounding parkland, and the location of a University of Hertfordshire campus, housing its biology/geography field station and observatory.",Keep,Georgian country estate now housing the University of Hertfordshire's observatory and atmospheric research facilities.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/3/39/Bayfordbury_Hall%2C_near_Hertford%2C_Hertfordshire_-_geograph.org.uk_-_115237.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Bhaktivedanta Manor,Stately Home,Hertfordshire,United Kingdom,51.665556,-0.336389,"Bhaktivedanta Manor is a Gaudiya Vaishnava Hindu temple set in the Hertfordshire countryside of England, in the village of Letchmore Heath near Watford. The Manor is owned and run by the International Society for Krishna Consciousness (ISKCON), better known as the Hare Krishna movement.",Keep,George Harrison donated this Tudor-style manor to the Hare Krishna movement in 1973.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/5/5f/Bhaktivedanta_Manor_crop.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.krishnatemple.com,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Brocket Hall,Stately Home,Hertfordshire,United Kingdom,51.801,-0.246,"Brocket Hall is a neo-classical country house set in a large park at the western side of the urban area of Welwyn Garden City in Hertfordshire, England. The estate includes two golf courses and seven smaller listed buildings, apart from the main house.",Keep,Georgian mansion associated with prime ministers Lord Melbourne and Lord Palmerston.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Brocket_Hall%2C_Hatfield%2C_Hertfordshire-Geograph-5195384-by-Christine-Matthews.jpg/1280px-Brocket_Hall%2C_Hatfield%2C_Hertfordshire-Geograph-5195384-by-Christine-Matthews.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.brocket-hall.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Buntingford Manor House,Stately Home,Hertfordshire,United Kingdom,51.9461,-0.0191,"Buntingford Manor House is an 18th-century building in the town of Buntingford, in Hertfordshire, England. It is a Grade II listed building.",Keep,Historic manor house reflecting Buntingford's long development as a Hertfordshire market town.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Manor_House%2C_Buntingford.jpg/1280px-Manor_House%2C_Buntingford.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Cassiobury House,Stately Home,Hertfordshire,United Kingdom,51.665,-0.418889,"Cassiobury House was a country house in Cassiobury Park, Watford, England. It was the ancestral seat of the Earls of Essex.",Keep,"Former seat of the Earls of Essex, demolished in 1927, with its parkland surviving at Watford.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/CS_p2.340_-_Cassiobury_Park%2C_Hertfordshire_-_Morris%27s_County_Seats%2C_1869.jpg/1280px-CS_p2.340_-_Cassiobury_Park%2C_Hertfordshire_-_Morris%27s_County_Seats%2C_1869.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://cassioburypark.info/history-of-cassiobury-park,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Hatfield House,Stately Home,Hertfordshire,United Kingdom,51.7606,-0.2092,"Hatfield House is a Grade I listed country house set in a large park, the Great Park, on the eastern side of Hatfield, Hertfordshire, England.
The present Jacobean house, a leading example of the prodigy house, was built in 1611 by Robert Cecil, 1st Earl of Salisbury and Chief Minister to James I. It is a prime example of Jacobean architecture.",Keep,Jacobean prodigy house built in 1611 beside the childhood home of Elizabeth I.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/e/e7/Hatfield_House.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.hatfield-house.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Knebworth House,Stately Home,Hertfordshire,United Kingdom,51.8728,-0.2148,"Knebworth House is an English country house in the parish of Knebworth in Hertfordshire, England. It is a Grade II* listed building.",Keep,Gothic mansion famed for the Lytton family and decades of major outdoor rock concerts.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/6/66/Knebworth_House%2C_Hertfordshire_-_geograph.org.uk_-_2776289.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,http://www.knebworthhouse.com/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Moor Park (house),Stately Home,Hertfordshire,United Kingdom,51.6283,-0.448,"Moor Park is a Neo-Palladian mansion set within several hundred acres of parkland to the south-east of Rickmansworth in Hertfordshire, England. It is called Moor Park Mansion because it is in the old park of the Manor of the More, a 16th-century palace.",Keep,"Palladian mansion with lavish painted interiors, now serving as a prestigious golf clubhouse.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/8/8e/Moor_Park_Mansion.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Chartwell,Stately Home,Kent,United Kingdom,51.2443,0.0833,"Chartwell is a country house near Westerham, Kent, in South East England. For over forty years, it was the home of Sir Winston Churchill.",Keep,"Winston Churchill's beloved family home, preserved with his painting studio, gardens and personal belongings.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Chartwell_House%2C_rear.JPG/1280px-Chartwell_House%2C_rear.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/chartwell,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Chevening,Stately Home,Kent,United Kingdom,51.299,0.1314,"Chevening House () is a large country house in the parish of Chevening in Kent, England. Built between 1617 and 1630 to a design reputedly by Inigo Jones and greatly extended after 1717, it is a Grade I listed building.",Keep,Seventeenth-century estate serving as an official country residence for the Foreign Secretary and senior ministers.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/c/c0/Chevening_House_-_geograph.org.uk_-_1932868.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Cobham Hall,Stately Home,Kent,United Kingdom,51.394444,0.418611,"Cobham Hall is an English country house in the county of Kent, England. The grade I listed building is one of the largest and most important houses in Kent, re-built as an Elizabethan prodigy house by William Brooke, 10th Baron Cobham (1527–1597).",Keep,Elizabethan and Jacobean mansion set within parkland landscaped by Capability Brown.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/West_Court.jpg/1280px-West_Court.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Cobham Hall School,Stately Home,Kent,United Kingdom,51.394444,0.418611,"Cobham Hall School is a private co-educational day and boarding school in the English parish of Cobham, Kent, for girls and boys aged 11-19. It is a Round Square school and a member of the Girls' Schools Association.",Keep,Independent school occupying Cobham Hall's historic mansion and Capability Brown parkland.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/West_Court.jpg/1280px-West_Court.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.cobhamhall.com,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
"Astley Hall, Chorley",Stately Home,Lancashire,United Kingdom,53.6595,-2.6453,"Astley Hall is a country house in Chorley, Lancashire, England. The building is now owned by the town and is known as Astley Hall Museum and Art Gallery.",Keep,Jacobean mansion known for richly decorated interiors and its connections with the English Civil War.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Astley_Hall_after_restoration.jpg/1280px-Astley_Hall_after_restoration.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://astleypark.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Capernwray Hall,Stately Home,Lancashire,United Kingdom,54.1436,-2.6963,"Capernwray Hall is a former country house situated 3 miles (4.8 km) east-northeast of Carnforth, Lancashire, England, and is currently used as a Christian Bible school and holiday centre. The house is recorded in the National Heritage List for England as a designated Grade II* listed building.",Keep,Victorian mansion that has housed an international Christian Bible school since 1947.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/c/c7/Capernwray_Hall.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Ightham Mote,Stately Home,Kent,United Kingdom,51.2585,0.2698,"Ightham Mote (), at Ightham, is a medieval moated manor house in Kent, England. The architectural writer John Newman describes it as ""the most complete small medieval manor house in the county"".",Keep,"One of England's best-preserved medieval moated manor houses, with architecture spanning several centuries.",,"Families, Couples, History Lovers",Worth the Detour,Medieval Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3e/Ightham_Mote%2C_west_%26_south.jpg/1280px-Ightham_Mote%2C_west_%26_south.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/ightham-mote/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Beaumanor Hall,Stately Home,Leicestershire,United Kingdom,52.736116,-1.204998,"Beaumanor Hall is a stately home with a park in the small village of Woodhouse on the edge of the Charnwood Forest, near the town of Loughborough in Leicestershire, England. The present hall was built in 1842–1848 by architect William Railton for the Herrick family, with previous halls dating back to the 14th century.",Keep,Country estate used as a secret wartime signals-intelligence station intercepting enemy communications.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/b/bb/Beaumanor_Hall_by_Christine_Matthews.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Chingle Hall,Stately Home,Lancashire,United Kingdom,53.8167,-2.6746,"Chingle Hall is a grade II listed manor house in the township of Whittingham near Preston, England.",Keep,Thirteenth-century moated manor often described as one of England's most haunted houses.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/Chingle_Hall.jpg/1280px-Chingle_Hall.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Gawthorpe Hall,Stately Home,Lancashire,United Kingdom,53.8027,-2.2948,"Gawthorpe Hall is an Elizabethan country house on the banks of the River Calder, in Ightenhill, a civil parish in the Borough of Burnley, Lancashire, England. Its estate extends into Padiham, with the Stockbridge Drive entrance situated there.",Keep,Elizabethan house containing an important textile collection and strong connections with the Brontë family.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ec/Gawthorpe_Hall_2016_034.jpg/1280px-Gawthorpe_Hall_2016_034.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/gawthorpe-hall/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Hoghton Tower,Stately Home,Lancashire,United Kingdom,53.7329,-2.5735,"Hoghton Tower is a fortified manor house two-thirds of a mile (1 km) east of the village of Hoghton, Lancashire, England, and stands on a hilltop site on the highest point in the area. It takes its name from the de Hoghton family, its historical owners since at least the 12th century.",Keep,Fortified hilltop manor visited by James I and his court in 1617.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Hoghton_Tower%2C_Lancashire_6704115249.jpg/1280px-Hoghton_Tower%2C_Lancashire_6704115249.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.hoghtontower.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Ayscoughfee Hall,Stately Home,Lincolnshire,United Kingdom,52.784444,-0.149444,"Ayscoughfee Hall   is a grade I listed building and modest associated parkland in central Spalding, Lincolnshire, England, and is a landmark on the fen tour.",Keep,Late-medieval merchant's house now serving as a museum beside formal gardens and a war memorial.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Ayscoughfee_Spoldingo_muziejus_vakare3.jpg/1280px-Ayscoughfee_Spoldingo_muziejus_vakare3.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.sholland.gov.uk/ayscoughfee,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Belton House,Stately Home,Lincolnshire,United Kingdom,52.9431,-0.6178,"Belton House is a Grade I listed country house in the parish of Belton near Grantham in Lincolnshire, England, built between 1685 and 1687 by Sir John Brownlow, 3rd Baronet. It is surrounded by formal gardens and a series of avenues leading to follies within a larger wooded park.",Keep,Classic Restoration country house used as Rosings Park in the 1995 BBC Pride and Prejudice.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Belton_House_South_Elevation.jpg/1280px-Belton_House_South_Elevation.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,https://www.nationaltrust.org.uk/belton-house/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
"Bosworth Hall, Market Bosworth",Stately Home,Leicestershire,United Kingdom,52.6266,-1.3974,"Bosworth Hall is a historic country house and Grade II* listed building in the rural town of Market Bosworth in Leicestershire, England, now known as the Bosworth Hall Hotel. It was the country seat of the Dixie family (baronets of Bosworth) for nearly three hundred years.",Keep,"Seventeenth-century country house associated for generations with the Dixie family, now operating as a hotel.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/c/c6/Market_Bosworth_Hall.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Branston Hall,Stately Home,Lincolnshire,United Kingdom,53.194167,-0.4825,"Branston Hall is a country house in the village of Branston, Lincolnshire, England. The hall, a Grade II listed building, is set in 88 acres (3.56 square kilometres) of wooded parkland and lakes.",Keep,"Victorian country house in landscaped grounds, later adapted for institutional and hospitality use.",,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/4/43/Branston_Hall.JPG?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Brooksby Hall,Stately Home,Leicestershire,United Kingdom,52.738,-1.0074,"Brooksby Hall is a late–16th-century manor house on 3.2 square kilometres (800 acres) of land between Leicester and Melton Mowbray. Situated 13 kilometres (8.1 mi) northeast of Leicester, the hall and the neighbouring church of St Michael and All Angels are the last remnants of the medieval village of Brooksby, which was founded during the period of the Danelaw in the 9th century AD. In the 15th and 16th centuries Brooksby was depopulated by enclosures carried out by the estate's owners, which turned its cultivated land into sheep pastures in order to profit from a boom in wool.",Keep,"Birthplace of George Villiers, the influential favourite of James I and first Duke of Buckingham.",,"Families, Couples, History Lovers",Worth the Detour,Medieval Britain,https://upload.wikimedia.org/wikipedia/commons/thumb/3/30/Brooksby_Hall_-_geograph.org.uk_-_584614.jpg/1280px-Brooksby_Hall_-_geograph.org.uk_-_584614.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
"Doddington Hall, Lincolnshire",Stately Home,Lincolnshire,United Kingdom,53.219,-0.654,"Doddington Hall is, from the outside, an Elizabethan prodigy house or mansion complete with walled courtyards and a gabled gatehouse. Inside it was largely updated in the 1760s.",Keep,Robert Smythson-designed Elizabethan hall completed in 1600 and still occupied by the same family.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Doddington_Hall_B1190_Main_Street_-_geograph.org.uk_-_3631408.jpg/1280px-Doddington_Hall_B1190_Main_Street_-_geograph.org.uk_-_3631408.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail,http://www.doddingtonhall.com/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
Addington Palace,Stately Home,London,United Kingdom,51.3575,-0.040833,Addington Palace is an 18th-century mansion in Addington located within the London Borough of Croydon. It was built close to the site of an earlier manor house belonging to the Leigh family.,Keep,Former country residence of the Archbishops of Canterbury during the 19th century.,,"Families, Couples, History Lovers",Worth the Detour,,https://upload.wikimedia.org/wikipedia/commons/8/84/Addington_Palace_Surrey_wedding_venue_aerial_shot.jpg?utm_source=en.wikipedia.org&utm_campaign=api&utm_content=thumbnail_unscaled,https://www.addington-palace.co.uk/,,,,,"history lovers, couples, family, day trip",worth the detour,Ticketed / paid,
